net,length_um
clknet_leaf_181_clk,81.62
_02848_,81.6
clknet_leaf_96_clk,81.52
mem_rdata_q\[14\],81.4
clknet_leaf_11_clk,81.22
_06871_,81.18
_06729_,81.055
_03404_,80.9
_03486_,80.82
_04853_,80.7
_05566_,80.65
_02621_,80.6
clknet_leaf_41_clk,80.56
_02887_,80.425
_05890_,80.16
_03677_,80.1
_02595_,80.04
clknet_leaf_159_clk,79.78
reg_next_pc\[26\],79.66
instr_sub,79.6
clknet_leaf_112_clk,79.54
_06808_,79.38
clknet_leaf_124_clk,79.24
_03455_,79.225
_05675_,79.08
_05667_,78.96
_06299_,78.94
_04631_,78.92
instr_sw,78.7
_02841_,78.6
_06332_,78.22
_04944_,78.17
clknet_leaf_42_clk,78.06
clknet_leaf_54_clk,77.98
count_cycle\[20\],77.84
clknet_leaf_24_clk,77.68
_03452_,77.58
reg_next_pc\[5\],77.56
_07248_,77.52
cpuregs\[29\]\[3\],77.44
_03880_,77.34
clknet_leaf_22_clk,77.06
_02656_,76.98
_04217_,76.92
mem_rdata_q\[27\],76.845
_03473_,76.84
clknet_leaf_102_clk,76.82
_07039_,76.7
count_cycle\[42\],76.67
clknet_leaf_95_clk,76.34
clknet_leaf_155_clk,76.08
clknet_leaf_157_clk,76.04
clknet_leaf_48_clk,75.88
_04562_,75.6
clknet_leaf_31_clk,75.48
clknet_leaf_73_clk,75.44
count_cycle\[10\],75.3
count_cycle\[14\],75.22
clknet_leaf_130_clk,75.205
_02763_,75.08
count_cycle\[63\],75.06
clknet_leaf_27_clk,74.98
clknet_leaf_14_clk,74.58
clknet_leaf_108_clk,74.52
clknet_leaf_127_clk,74.52
instr_bne,74.49
_02098_,74.18
_05683_,74.18
_03451_,74.1
_06997_,73.84
clknet_leaf_39_clk,73.82
reg_next_pc\[9\],73.62
_02632_,73.56
clknet_leaf_109_clk,73.53
_06367_,73.32
clknet_leaf_173_clk,73.09
clknet_leaf_153_clk,73.08
mem_rdata_q\[31\],73.075
clknet_leaf_67_clk,73.06
_07084_,72.9
clknet_leaf_115_clk,72.875
latched_is_lh,72.86
_03901_,72.78
reg_next_pc\[21\],72.76
clknet_leaf_8_clk,72.72
_03072_,72.7
count_cycle\[17\],72.54
clknet_leaf_94_clk,72.5
clknet_leaf_74_clk,72.48
clknet_leaf_20_clk,72.165
_02444_,72.16
_04059_,72.14
_05674_,72.12
_06400_,72.1
mem_rdata_q\[25\],72.035
_02131_,72
net236,71.76
clknet_leaf_103_clk,71.72
clknet_leaf_59_clk,71.66
net66,71.62
clknet_leaf_121_clk,71.44
_03204_,71.42
instr_sb,71.34
clknet_leaf_140_clk,71.24
_05911_,71.08
net1209,70.71
count_cycle\[53\],70.38
instr_bge,70.31
_02099_,70.28
_02648_,70.23
_05163_,70.14
_03618_,69.975
clknet_leaf_98_clk,69.9
_02548_,69.78
reg_next_pc\[27\],69.69
clknet_leaf_117_clk,69.6
clknet_leaf_78_clk,69.48
_04053_,69.26
_02938_,69.21
_04256_,69.08
cpuregs\[11\]\[6\],69
_05654_,68.99
_05672_,68.86
clknet_leaf_65_clk,68.84
clknet_leaf_151_clk,68.78
_05670_,68.425
clknet_leaf_47_clk,68.2
cpuregs\[10\]\[27\],68.065
_02591_,67.98
clknet_leaf_131_clk,67.84
count_cycle\[44\],67.52
clknet_leaf_79_clk,67.42
clknet_leaf_61_clk,67.4
_03411_,67.38
_03303_,67.14
is_compare,67.06
_03206_,67.02
_05661_,66.97
_04782_,66.94
count_cycle\[12\],66.88
_02217_,66.855
reg_next_pc\[10\],66.82
reg_next_pc\[18\],66.7
_02463_,66.445
_02617_,66.44
_02129_,66.36
_02474_,66.3
clknet_leaf_85_clk,65.62
clknet_leaf_13_clk,65.6
_05650_,65.54
clknet_leaf_137_clk,65.5
_07338_,65.48
clknet_leaf_106_clk,65.26
cpuregs\[29\]\[0\],64.98
cpu_state\[5\],64.9
clknet_leaf_170_clk,64.88
clknet_leaf_128_clk,64.86
_04942_,64.76
_02256_,64.26
_03674_,64.22
mem_rdata_q\[28\],64.21
_00010_,64.06
_04253_,63.9
_06759_,63.72
mem_rdata_q\[8\],63.66
_04769_,63.54
clknet_leaf_136_clk,63.46
_05682_,63.29
_04249_,63.08
clknet_leaf_118_clk,63.04
cpuregs\[10\]\[29\],62.955
_03815_,62.9
_07097_,62.88
clknet_leaf_99_clk,62.755
net37,62.72
_06206_,62.6
clknet_leaf_29_clk,62.59
_03205_,62.54
_05668_,62.36
_06752_,62.28
clknet_leaf_154_clk,62.28
_05656_,62.17
_06003_,62.14
_05676_,61.94
instr_sh,61.94
_05651_,61.56
clknet_leaf_9_clk,61.56
_00871_,61.5
_03869_,61.46
clknet_leaf_110_clk,61.41
mem_rdata_q\[19\],61.35
clknet_leaf_123_clk,61.32
clknet_leaf_4_clk,61.3
clknet_leaf_16_clk,61.3
_04703_,61.04
_06298_,61.04
_02206_,60.94
_03301_,60.94
_02766_,60.9
reg_next_pc\[23\],60.84
_04431_,60.72
_02636_,60.66
_00841_,60.64
reg_next_pc\[19\],60.64
_04011_,60.38
_06213_,60.34
_04827_,60.28
net61,60.16
net42,59.92
reg_next_pc\[24\],59.86
_05665_,59.85
count_cycle\[13\],59.78
cpuregs\[29\]\[1\],59.74
_03029_,59.58
count_instr\[1\],59.44
_05770_,59.38
_04826_,59.24
_02910_,59.08
reg_next_pc\[12\],59.02
_03437_,58.96
_06621_,58.94
clknet_leaf_156_clk,58.88
_01116_,58.845
reg_next_pc\[7\],58.82
mem_wordsize\[2\],58.62
_02177_,58.32
_07018_,58.3
_07230_,58.13
_06679_,58.08
_02291_,57.78
instr_bgeu,57.62
_04321_,57.52
cpuregs\[10\]\[3\],57.425
clknet_leaf_180_clk,57.12
net396,57.12
count_cycle\[32\],57.06
_04128_,56.9
net214,56.88
_04373_,56.86
_06936_,56.82
reg_next_pc\[22\],56.81
count_cycle\[56\],56.66
_06905_,56.64
count_cycle\[34\],56.62
_07366_,56.56
mem_rdata_q\[29\],56.555
net80,56.54
_07142_,56.5
_03027_,56.4
_07011_,56.22
count_cycle\[49\],56.175
_06582_,56.12
count_cycle\[35\],56.12
count_instr\[3\],56
_04637_,55.82
_07056_,55.8
_02634_,55.76
reg_next_pc\[11\],55.66
_03371_,55.56
_05509_,55.46
count_cycle\[59\],55.46
clknet_leaf_161_clk,55.42
_04865_,55.3
_06412_,55.18
_01111_,55.14
_07126_,54.89
_00027_,54.76
_05648_,54.72
_02828_,54.64
_03282_,54.6
clknet_leaf_182_clk,54.58
clknet_leaf_6_clk,54.48
clknet_leaf_25_clk,54.46
net423,54.4
_02678_,54.34
reg_out\[31\],54.34
mem_rdata_q\[30\],54.195
_03631_,54.06
count_cycle\[18\],53.95
clknet_leaf_19_clk,53.9
_07516_,53.66
_05662_,53.58
count_cycle\[37\],53.58
clknet_leaf_10_clk,53.58
clknet_leaf_28_clk,53.54
is_alu_reg_reg,53.5
clknet_leaf_51_clk,53.5
_06968_,53.46
_06955_,53.44
cpuregs\[10\]\[10\],53.365
_06494_,53.32
_03383_,53.22
clknet_leaf_184_clk,53.16
clknet_leaf_163_clk,53.12
clknet_leaf_144_clk,52.98
count_cycle\[39\],52.8
clknet_leaf_93_clk,52.78
_06975_,52.76
_04898_,52.74
_04347_,52.72
clknet_leaf_80_clk,52.72
_03161_,52.7
reg_next_pc\[14\],52.62
_03765_,52.54
_04776_,52.42
_03153_,52.4
_02185_,52.38
_07285_,52.36
_04741_,52.28
_04088_,52.26
clknet_leaf_71_clk,52.26
reg_next_pc\[3\],52.12
_03933_,52.08
_06969_,51.96
_03859_,51.8
_07335_,51.68
count_instr\[14\],51.64
_06282_,51.44
_02164_,51.38
clknet_leaf_12_clk,51.3
count_cycle\[21\],51.26
_04427_,51.16
_06325_,51.08
is_alu_reg_imm,51.045
_03868_,50.98
_02354_,50.96
cpuregs\[8\]\[6\],50.96
_07343_,50.88
cpuregs\[20\]\[27\],50.78
_06917_,50.68
_03844_,50.56
count_cycle\[52\],50.5
_04784_,50.48
_04254_,50.4
count_cycle\[60\],50.4
_02728_,50.32
_02565_,50.28
_07155_,50.28
_03024_,50.24
clknet_leaf_147_clk,50.08
_00839_,50.06
count_instr\[2\],49.98
count_cycle\[23\],49.92
_03002_,49.84
count_cycle\[22\],49.62
net38,49.6
_06907_,49.54
_03258_,49.52
net462,49.5
_03304_,49.48
net151,49.42
_06774_,49.34
_06687_,49.26
_05658_,49.24
net87,49.18
_06670_,49.14
_02165_,49.08
_03203_,49.06
_05657_,49.045
_07158_,49.04
instr_and,48.92
_03124_,48.88
_03151_,48.86
_04859_,48.86
_04572_,48.84
_02145_,48.8
count_cycle\[41\],48.78
_03749_,48.62
_03915_,48.6
_04324_,48.55
_04783_,48.44
count_instr\[10\],48.4
_02380_,48.38
_02662_,48.34
_04588_,48.28
_04494_,47.9
_02215_,47.86
reg_next_pc\[8\],47.85
cpuregs\[31\]\[4\],47.75
reg_next_pc\[4\],47.72
count_instr\[58\],47.66
_02106_,47.64
net414,47.58
_02813_,47.56
reg_next_pc\[2\],47.3
latched_stalu,47.28
_02233_,47.22
_06685_,47.12
_05502_,47.06
count_cycle\[8\],47.02
reg_out\[17\],47.02
_02276_,47
_06777_,46.94
_02347_,46.86
_06573_,46.74
cpuregs\[0\]\[3\],46.66
_07085_,46.48
_06613_,46.38
count_cycle\[55\],46.32
reg_next_pc\[13\],46.32
cpuregs\[4\]\[1\],46.26
_07255_,46.24
_03746_,46.22
_04322_,46.06
_02132_,46.04
_05858_,46.02
_06604_,46.02
_03776_,46
alu_out_q\[26\],45.96
_02137_,45.86
_03264_,45.86
_06937_,45.84
_06147_,45.82
_04472_,45.76
_02667_,45.68
cpuregs\[1\]\[26\],45.64
_06265_,45.61
_06010_,45.56
_04711_,45.5
reg_out\[16\],45.5
count_instr\[8\],45.46
count_cycle\[36\],45.4
cpuregs\[30\]\[4\],45.35
count_instr\[44\],45.335
_03792_,45.3
_04705_,45.3
reg_next_pc\[15\],45.26
_05649_,45.245
_06428_,45.22
_07110_,45.06
_05628_,45.04
_02619_,45
_02327_,44.98
is_lui_auipc_jal,44.96
_01125_,44.915
_05577_,44.88
_05669_,44.88
clknet_leaf_77_clk,44.82
_02767_,44.81
_06211_,44.8
_02103_,44.72
_06746_,44.72
cpuregs\[25\]\[10\],44.72
clknet_leaf_55_clk,44.64
clknet_leaf_167_clk,44.62
_04901_,44.6
_06732_,44.5
_02273_,44.46
_02580_,44.38
_03375_,44.36
_04568_,44.26
clknet_leaf_175_clk,44.22
cpuregs\[8\]\[5\],44.2
reg_out\[4\],44.14
count_cycle\[43\],44.1
_07264_,44.08
_07303_,44.08
_03773_,44.04
_04860_,44.04
count_cycle\[54\],43.94
clknet_leaf_86_clk,43.92
_06794_,43.82
cpuregs\[10\]\[25\],43.805
count_cycle\[50\],43.78
_03708_,43.7
reg_out\[30\],43.5
_05663_,43.49
_04682_,43.44
_04403_,43.38
_03946_,43.34
_07259_,43.26
cpuregs\[20\]\[16\],43.26
_07489_,43.24
net909,43.18
_02162_,43.14
_07026_,43.04
_02139_,43.02
instr_sltu,42.7
count_cycle\[58\],42.5
count_cycle\[47\],42.45
_06879_,42.42
_03885_,42.3
mem_rdata_q\[23\],42.22
_06703_,42.2
_06307_,42.18
net45,42.18
count_instr\[0\],42.12
_05794_,42.04
_01099_,42.025
_03738_,41.96
count_instr\[42\],41.96
count_cycle\[45\],41.94
clknet_leaf_162_clk,41.86
clknet_leaf_36_clk,41.82
_06922_,41.72
_06548_,41.7
cpuregs\[20\]\[12\],41.7
_03690_,41.64
count_cycle\[38\],41.62
count_instr\[6\],41.4
_04644_,41.38
alu_out\[18\],41.305
_02647_,41.3
_07497_,41.3
_03565_,41.2
_04433_,41
_05605_,40.92
cpuregs\[12\]\[21\],40.92
_02335_,40.74
count_cycle\[51\],40.695
_02747_,40.68
reg_next_pc\[28\],40.66
_05766_,40.64
mem_rdata_q\[24\],40.64
_04102_,40.62
_02829_,40.6
_04569_,40.6
_07490_,40.6
_03604_,40.58
_04400_,40.54
_02635_,40.4
cpuregs\[10\]\[24\],40.34
_07581_,40.32
_02407_,40.24
_06071_,40.2
_05692_,40.12
_03971_,39.96
_02777_,39.92
alu_out\[11\],39.825
net783,39.64
reg_out\[20\],39.6
_04560_,39.58
count_cycle\[19\],39.58
alu_out\[20\],39.545
_04852_,39.32
cpuregs\[1\]\[30\],39.28
_03512_,39.26
_02578_,39.19
_02646_,39.16
_04180_,39.14
_05513_,39.14
_02127_,39.02
_03606_,38.96
cpuregs\[5\]\[12\],38.96
_06477_,38.9
_04629_,38.82
_03989_,38.8
reg_next_pc\[30\],38.8
_04344_,38.78
_04029_,38.72
_04718_,38.7
_02521_,38.56
_02138_,38.53
_07187_,38.5
_06601_,38.48
_02210_,38.44
_06967_,38.44
_06453_,38.4
cpuregs\[24\]\[10\],38.38
_02986_,38.36
cpuregs\[15\]\[29\],38.36
_03931_,38.32
_03667_,38.28
cpuregs\[26\]\[27\],38.275
_02494_,38.26
count_cycle\[33\],38.2
cpuregs\[23\]\[16\],38.2
reg_out\[27\],38.14
_02534_,38.08
count_instr\[57\],38.06
cpuregs\[31\]\[18\],38.06
cpuregs\[1\]\[22\],38
cpuregs\[9\]\[3\],38
net138,37.96
_04811_,37.92
_02798_,37.9
count_instr\[7\],37.88
_06542_,37.84
count_cycle\[25\],37.8
cpuregs\[4\]\[13\],37.74
_05751_,37.7
cpuregs\[16\]\[16\],37.68
cpuregs\[0\]\[28\],37.64
_04712_,37.6
cpuregs\[28\]\[21\],37.6
alu_out_q\[29\],37.58
_05684_,37.54
mem_wordsize\[0\],37.52
_04459_,37.5
instr_blt,37.48
net111,37.48
_05659_,37.46
_02114_,37.36
_05551_,37.34
_06419_,37.34
_03405_,37.3
count_instr\[26\],37.22
_07096_,37.16
_04768_,37.14
_03685_,37.1
_02805_,37.06
_02289_,37.02
_05598_,36.98
cpuregs\[16\]\[17\],36.82
cpuregs\[26\]\[20\],36.73
_05666_,36.68
cpuregs\[27\]\[4\],36.68
_02307_,36.65
_04418_,36.64
_06934_,36.64
_02092_,36.56
_05838_,36.55
_05572_,36.52
net55,36.52
reg_out\[14\],36.51
cpuregs\[3\]\[28\],36.48
_06207_,36.44
cpuregs\[29\]\[6\],36.42
cpuregs\[15\]\[1\],36.4
_06128_,36.35
_02908_,36.34
count_cycle\[61\],36.26
instr_sltiu,36.26
_03943_,36.22
cpuregs\[16\]\[19\],36.22
count_cycle\[16\],36.2
_04067_,36.18
_06214_,36.1
cpuregs\[25\]\[15\],36.1
_02620_,36.06
_06420_,36.06
_06904_,36.06
cpuregs\[28\]\[20\],36.02
_02433_,35.98
_05559_,35.98
_04121_,35.94
count_cycle\[48\],35.9
alu_out\[23\],35.885
_02324_,35.84
cpuregs\[28\]\[6\],35.78
_04903_,35.76
cpuregs\[9\]\[4\],35.74
_06283_,35.72
_06598_,35.72
cpuregs\[28\]\[4\],35.72
alu_out\[15\],35.645
_03967_,35.64
cpu_state\[0\],35.62
cpuregs\[13\]\[7\],35.49
_02445_,35.435
_07388_,35.42
_03093_,35.4
_03377_,35.38
cpuregs\[27\]\[18\],35.32
cpuregs\[17\]\[14\],35.24
_02338_,35.18
cpuregs\[5\]\[25\],35.16
net142,35.14
cpuregs\[24\]\[17\],35.06
cpuregs\[5\]\[16\],35.04
cpuregs\[16\]\[12\],35.02
cpuregs\[5\]\[1\],35.02
_07143_,34.96
_03497_,34.92
mem_state\[1\],34.9
cpuregs\[0\]\[12\],34.84
cpuregs\[20\]\[10\],34.82
_04666_,34.76
_06744_,34.74
count_instr\[31\],34.74
cpuregs\[20\]\[14\],34.7
_02345_,34.68
_07004_,34.64
cpuregs\[30\]\[20\],34.625
_05860_,34.6
_01112_,34.505
alu_out\[21\],34.465
cpuregs\[25\]\[4\],34.46
_07173_,34.4
_07302_,34.4
_04204_,34.36
_07113_,34.34
_03734_,34.28
_04814_,34.28
_07254_,34.28
_02958_,34.26
_03705_,34.26
_04046_,34.26
reg_out\[8\],34.24
cpuregs\[24\]\[9\],34.17
_02775_,34.14
_05727_,34.14
count_cycle\[4\],34.14
cpuregs\[8\]\[17\],34.12
_06429_,33.98
cpuregs\[13\]\[14\],33.94
_05903_,33.92
cpuregs\[0\]\[13\],33.92
cpuregs\[10\]\[2\],33.89
alu_out\[19\],33.825
_02442_,33.8
_04710_,33.78
_03695_,33.7
_02480_,33.68
_02320_,33.66
cpuregs\[12\]\[19\],33.65
mem_state\[0\],33.58
_02759_,33.52
net164,33.52
_04748_,33.5
_04831_,33.48
_03970_,33.34
_06591_,33.32
_04895_,33.3
_02094_,33.255
cpuregs\[4\]\[3\],33.22
_02694_,33.2
cpuregs\[15\]\[10\],33.2
_06619_,33.14
mem_rdata_q\[17\],33.125
cpuregs\[12\]\[6\],33.12
cpuregs\[25\]\[27\],33.1
_03702_,33.06
_03465_,32.96
cpuregs\[0\]\[25\],32.96
_07062_,32.94
_04369_,32.92
_03046_,32.86
cpuregs\[17\]\[3\],32.85
_03125_,32.83
cpuregs\[21\]\[14\],32.8
cpuregs\[10\]\[0\],32.795
_07038_,32.78
clknet_leaf_165_clk,32.76
cpuregs\[10\]\[5\],32.745
cpuregs\[21\]\[26\],32.74
_03939_,32.73
count_instr\[12\],32.68
cpuregs\[31\]\[20\],32.68
clknet_leaf_15_clk,32.67
net1618,32.64
cpuregs\[26\]\[10\],32.635
_06092_,32.6
_02727_,32.58
_05582_,32.58
_02937_,32.56
alu_out\[17\],32.545
_02560_,32.54
net745,32.54
cpuregs\[12\]\[12\],32.52
_02606_,32.5
count_cycle\[11\],32.5
cpuregs\[8\]\[9\],32.44
cpuregs\[2\]\[31\],32.425
clknet_leaf_5_clk,32.38
_06463_,32.36
count_cycle\[62\],32.36
cpuregs\[24\]\[5\],32.36
cpuregs\[25\]\[11\],32.34
alu_out\[24\],32.305
_03425_,32.28
_07284_,32.26
cpuregs\[16\]\[3\],32.22
_03238_,32.2
cpuregs\[25\]\[20\],32.14
_04851_,32.12
cpuregs\[28\]\[7\],32.1
cpuregs\[18\]\[31\],32.09
_06810_,32.04
_02675_,32
cpuregs\[16\]\[22\],32
_02968_,31.98
cpuregs\[5\]\[29\],31.98
_04533_,31.92
cpuregs\[13\]\[27\],31.92
_02571_,31.9
cpuregs\[25\]\[16\],31.895
cpuregs\[21\]\[16\],31.86
_04990_,31.84
_04179_,31.82
_04702_,31.82
_04604_,31.8
_02395_,31.76
cpuregs\[10\]\[28\],31.745
_02112_,31.72
count_instr\[4\],31.66
cpuregs\[0\]\[9\],31.64
_01098_,31.635
_04819_,31.6
_06296_,31.6
cpuregs\[11\]\[31\],31.6
_05622_,31.59
_03766_,31.58
count_cycle\[7\],31.58
cpuregs\[11\]\[30\],31.58
_04426_,31.57
_04267_,31.56
_07337_,31.54
cpuregs\[16\]\[30\],31.48
_04752_,31.45
_04176_,31.4
_02549_,31.36
_04828_,31.28
net145,31.28
cpuregs\[5\]\[3\],31.23
cpuregs\[0\]\[27\],31.22
cpuregs\[12\]\[30\],31.2
cpuregs\[9\]\[8\],31.2
count_instr\[61\],31.12
_06017_,31.08
_06318_,31.08
_02323_,31.04
count_instr\[25\],31.04
cpuregs\[9\]\[23\],31.04
cpuregs\[12\]\[31\],31
_02695_,30.96
reg_out\[28\],30.92
net48,30.92
cpuregs\[1\]\[5\],30.9
cpuregs\[8\]\[10\],30.9
cpuregs\[26\]\[22\],30.885
net141,30.84
cpuregs\[26\]\[23\],30.79
cpuregs\[24\]\[14\],30.7
cpuregs\[9\]\[9\],30.7
net291,30.69
cpuregs\[5\]\[15\],30.64
_04745_,30.62
cpuregs\[8\]\[28\],30.6
mem_wordsize\[1\],30.56
cpuregs\[10\]\[1\],30.545
cpuregs\[4\]\[30\],30.54
_03546_,30.52
net1657,30.52
_06025_,30.36
_03800_,30.34
_03922_,30.33
alu_out\[1\],30.325
_06539_,30.32
_05534_,30.3
count_instr\[51\],30.3
_06101_,30.28
_06416_,30.28
cpuregs\[28\]\[22\],30.28
cpuregs\[14\]\[1\],30.265
_02119_,30.26
cpuregs\[5\]\[6\],30.26
net33,30.24
cpuregs\[12\]\[23\],30.2
cpuregs\[26\]\[9\],30.195
_07149_,30.16
cpuregs\[1\]\[20\],30.14
cpuregs\[20\]\[25\],30.08
cpuregs\[8\]\[3\],30.08
net39,30.08
_05880_,30.04
cpuregs\[5\]\[9\],30.04
_04516_,30.035
_02807_,29.96
_05512_,29.96
_06827_,29.96
cpuregs\[8\]\[21\],29.92
reg_out\[1\],29.88
_06123_,29.86
_06527_,29.86
_06999_,29.84
_07283_,29.82
mem_rdata_q\[22\],29.82
_02666_,29.78
_04224_,29.78
cpuregs\[25\]\[14\],29.78
_06998_,29.74
_07023_,29.74
cpuregs\[25\]\[9\],29.74
_04575_,29.7
_04606_,29.7
_04676_,29.7
_06708_,29.7
_06043_,29.66
instr_bltu,29.64
_06672_,29.62
_04025_,29.6
cpuregs\[31\]\[30\],29.58
_00028_,29.54
_04469_,29.52
cpuregs\[1\]\[12\],29.5
net238,29.495
cpuregs\[21\]\[8\],29.48
cpuregs\[2\]\[7\],29.465
_03736_,29.4
_06408_,29.4
cpuregs\[20\]\[29\],29.385
_05935_,29.38
_04081_,29.32
_04104_,29.32
_04464_,29.32
_02219_,29.28
_02594_,29.28
_00030_,29.245
cpuregs\[9\]\[21\],29.24
_06152_,29.22
count_cycle\[57\],29.22
_06083_,29.2
_02738_,29.18
cpuregs\[24\]\[29\],29.18
count_instr\[17\],29.16
cpuregs\[2\]\[5\],29.145
_03916_,29.1
cpuregs\[15\]\[28\],29.1
_03031_,29.04
cpuregs\[9\]\[11\],29.02
_04719_,28.94
count_instr\[60\],28.86
instr_andi,28.84
cpuregs\[2\]\[11\],28.825
_04330_,28.82
_04683_,28.82
cpuregs\[9\]\[18\],28.82
cpuregs\[17\]\[18\],28.8
instr_slti,28.8
_05768_,28.78
cpuregs\[19\]\[24\],28.78
cpuregs\[5\]\[4\],28.78
cpuregs\[9\]\[2\],28.76
_04726_,28.74
_06858_,28.74
_02539_,28.7
reg_sh\[2\],28.66
_06421_,28.635
_01115_,28.62
_02814_,28.62
_03973_,28.62
_04382_,28.61
cpuregs\[16\]\[20\],28.6
cpuregs\[9\]\[20\],28.6
_04855_,28.58
_04101_,28.56
cpuregs\[17\]\[21\],28.56
_05974_,28.52
count_instr\[21\],28.5
_04877_,28.49
_06406_,28.48
cpuregs\[16\]\[4\],28.46
_02692_,28.42
_06690_,28.42
_06903_,28.38
cpuregs\[25\]\[22\],28.38
_04062_,28.36
_04432_,28.36
cpuregs\[31\]\[14\],28.36
_04787_,28.35
cpuregs\[16\]\[0\],28.34
cpuregs\[17\]\[12\],28.32
instr_lui,28.32
count_instr\[43\],28.29
_02308_,28.28
_02368_,28.27
cpuregs\[8\]\[23\],28.26
reg_out\[12\],28.22
cpuregs\[26\]\[8\],28.2
cpuregs\[5\]\[23\],28.2
cpuregs\[9\]\[28\],28.2
_02367_,28.16
_02562_,28.14
cpuregs\[21\]\[18\],28.14
_06065_,28.1
_03625_,28.08
_04360_,28.08
cpuregs\[27\]\[25\],28.06
cpuregs\[10\]\[20\],28.025
_03877_,28.02
_05609_,28
_02518_,27.98
_03585_,27.96
count_cycle\[9\],27.96
_00952_,27.94
cpuregs\[0\]\[8\],27.92
_04777_,27.9
reg_next_pc\[31\],27.88
_04028_,27.86
cpuregs\[24\]\[21\],27.86
cpuregs\[8\]\[16\],27.86
_02428_,27.82
cpuregs\[5\]\[8\],27.82
count_cycle\[1\],27.74
_06754_,27.72
count_instr\[56\],27.7
_01118_,27.685
cpuregs\[8\]\[4\],27.68
cpuregs\[4\]\[19\],27.66
cpuregs\[9\]\[0\],27.66
cpuregs\[12\]\[4\],27.64
_07105_,27.62
count_cycle\[15\],27.62
_06436_,27.6
cpuregs\[1\]\[14\],27.6
_02607_,27.58
_05488_,27.58
_05749_,27.58
_06098_,27.58
_05523_,27.57
_06334_,27.56
_07125_,27.52
cpuregs\[12\]\[5\],27.5
cpuregs\[12\]\[16\],27.48
cpuregs\[24\]\[6\],27.48
cpuregs\[12\]\[3\],27.46
_03879_,27.44
_04485_,27.44
_07091_,27.44
instr_fence,27.44
cpuregs\[17\]\[29\],27.415
cpuregs\[26\]\[28\],27.415
cpuregs\[17\]\[7\],27.4
count_instr\[38\],27.36
cpuregs\[13\]\[4\],27.34
cpuregs\[12\]\[15\],27.33
_04107_,27.32
_04229_,27.32
count_cycle\[0\],27.3
cpuregs\[11\]\[22\],27.3
cpuregs\[15\]\[16\],27.3
_03687_,27.28
cpuregs\[24\]\[30\],27.28
_07168_,27.26
_07331_,27.22
count_instr\[55\],27.22
cpuregs\[4\]\[15\],27.21
cpuregs\[24\]\[18\],27.2
instr_sll,27.2
count_instr\[54\],27.18
net269,27.18
cpuregs\[17\]\[20\],27.14
cpuregs\[5\]\[28\],27.14
cpuregs\[7\]\[30\],27.14
cpuregs\[28\]\[10\],27.12
cpuregs\[22\]\[0\],27.115
cpuregs\[20\]\[24\],27.1
cpuregs\[11\]\[20\],27.07
_06559_,27.06
cpuregs\[25\]\[31\],27.06
_05542_,27.04
_07154_,27.04
_04812_,27.02
_07258_,27.02
_03890_,26.94
cpuregs\[5\]\[14\],26.92
_06753_,26.9
_01104_,26.885
cpuregs\[9\]\[5\],26.86
_03484_,26.85
_06306_,26.84
alu_out_q\[31\],26.84
cpuregs\[13\]\[19\],26.84
cpuregs\[1\]\[8\],26.8
cpuregs\[24\]\[28\],26.8
cpuregs\[27\]\[1\],26.78
cpuregs\[1\]\[18\],26.74
cpuregs\[24\]\[16\],26.735
count_cycle\[29\],26.73
cpuregs\[31\]\[7\],26.72
cpuregs\[9\]\[15\],26.72
cpuregs\[4\]\[0\],26.7
mem_rdata_q\[6\],26.7
cpuregs\[17\]\[13\],26.68
cpuregs\[21\]\[12\],26.68
cpuregs\[28\]\[18\],26.68
cpuregs\[18\]\[3\],26.665
_02302_,26.64
_03742_,26.64
_03875_,26.64
_04820_,26.64
cpuregs\[1\]\[11\],26.64
cpuregs\[26\]\[7\],26.635
cpuregs\[0\]\[6\],26.58
reg_out\[18\],26.58
_03883_,26.56
_05764_,26.54
_03769_,26.52
_04071_,26.52
cpuregs\[17\]\[23\],26.52
cpuregs\[17\]\[27\],26.52
reg_out\[25\],26.52
cpuregs\[17\]\[22\],26.48
cpuregs\[5\]\[0\],26.48
alu_out\[16\],26.465
alu_out\[28\],26.465
cpuregs\[14\]\[13\],26.465
cpuregs\[4\]\[5\],26.4
reg_out\[3\],26.4
cpuregs\[12\]\[10\],26.38
_05728_,26.36
_02979_,26.32
net147,26.32
_03820_,26.3
cpuregs\[9\]\[31\],26.3
cpuregs\[17\]\[16\],26.28
_06168_,26.24
cpuregs\[15\]\[27\],26.23
_03872_,26.22
count_instr\[62\],26.22
cpuregs\[5\]\[22\],26.21
alu_out\[8\],26.205
cpuregs\[6\]\[26\],26.205
_06165_,26.16
_06743_,26.16
cpuregs\[3\]\[10\],26.14
mem_rdata_q\[5\],26.11
_03882_,26.1
_06414_,26.1
_07218_,26.1
cpuregs\[21\]\[10\],26.1
cpuregs\[1\]\[31\],26.08
cpuregs\[8\]\[15\],26.08
_06119_,26.06
cpuregs\[7\]\[18\],26.06
cpuregs\[5\]\[18\],26.04
_07206_,25.98
cpuregs\[13\]\[6\],25.98
cpuregs\[8\]\[13\],25.98
cpuregs\[17\]\[15\],25.96
cpuregs\[5\]\[27\],25.96
_04468_,25.94
cpuregs\[26\]\[29\],25.935
cpuregs\[23\]\[0\],25.93
_00912_,25.925
_04163_,25.92
cpuregs\[1\]\[6\],25.92
net54,25.9
net370,25.9
_02459_,25.89
